Timestamp,Người chơi 1,Race 1,Map,Kết quá,Người chơi 2,Race 2
8/20/2024 22:41:00,longnt,,,Thắng,VitaminZ,
8/20/2024 22:41:14,longnt,,,Thắng,VitaminZ,
8/20/2024 22:41:43,Wisdom,,,Thua,Lancelot,
8/20/2024 22:41:54,Wisdom,,,Thua,Lancelot,
8/20/2024 22:42:07,gobo2k,,,Thắng,hoanguyen,
8/20/2024 22:42:25,gobo2k,,,Thua,hoanguyen,
8/20/2024 22:42:39,gobo2k,,,Thắng,hoanguyen,
8/20/2024 22:42:57,socnho,,,Thắng,Ichiban,
8/20/2024 22:43:14,socnho,,,Thua,Ichiban,
8/20/2024 22:43:26,socnho,,,Thắng,Ichiban,
8/20/2024 22:43:46,Chairma,,,Thua,LazyOldMan,
8/20/2024 22:44:00,Chairma,,,Thua,LazyOldMan,
8/20/2024 22:44:15,osho,,,Thắng,Ragnar,
8/20/2024 22:44:29,osho,,,Thắng,Ragnar,
8/20/2024 22:44:47,Vinam,,,Thua,Ninh,
8/20/2024 22:45:00,Vinam,,,Thua,Ninh,
8/20/2024 22:45:12,Domi,,,Thắng,NghiaDepTrai,
8/20/2024 22:45:25,Domi,,,Thắng,NghiaDepTrai,
8/20/2024 22:45:43,osho,,,Thua,Wisdom,
8/20/2024 22:45:55,osho,,,Thắng,Wisdom,
8/20/2024 22:46:05,osho,,,Thắng,Wisdom,
8/20/2024 22:53:49,gobo2k,,,Thắng,Chairma,
8/20/2024 22:54:03,gobo2k,,,Thua,Chairma,
8/20/2024 22:54:16,gobo2k,,,Thắng,Chairma,
8/20/2024 22:54:25,Vinam,,,Thắng,socnho,
8/20/2024 22:54:41,Vinam,,,Thắng,socnho,
8/20/2024 22:54:51,Domi,,,Thắng,longnt,
8/20/2024 22:55:05,Domi,,,Thắng,longnt,
8/20/2024 22:55:16,Ragnar,,,Thua,Lancelot,
8/20/2024 22:57:11,Ragnar,,,Thua,Lancelot,
8/20/2024 22:57:21,NghiaDepTrai,,,Thắng,VitaminZ,
8/20/2024 22:57:33,NghiaDepTrai,,,Thắng,VitaminZ,
8/20/2024 22:57:52,LazyOldMan,,,Thắng,hoanguyen,
8/20/2024 22:58:09,LazyOldMan,,,Thắng,hoanguyen,
8/20/2024 22:58:22,Ninh,,,Thua,Ichiban,
8/20/2024 22:58:31,Ninh,,,Thua,Ichiban,
8/20/2024 22:58:38,Chairma,,,Thắng,VitaminZ,
8/20/2024 22:58:48,Chairma,,,Thua,VitaminZ,
8/20/2024 22:59:00,Chairma,,,Thắng,VitaminZ,
8/20/2024 22:59:09,osho,,,Thua,Ichiban,
8/20/2024 22:59:18,osho,,,Thua,Ichiban,
8/20/2024 22:59:31,Vinam,,,Thắng,hoanguyen,
8/20/2024 22:59:45,Vinam,,,Thắng,hoanguyen,
8/20/2024 22:59:59,Domi,,,Thắng,Lancelot,
8/20/2024 23:00:12,Domi,,,Thắng,Lancelot,
8/20/2024 23:00:25,LazyOldMan,,,Thắng,longnt,
8/20/2024 23:00:43,LazyOldMan,,,Thua,longnt,
8/20/2024 23:06:07,LazyOldMan,,,Thắng,longnt,
8/20/2024 23:06:20,Ragnar,,,Thắng,socnho,
8/20/2024 23:06:30,Ragnar,,,Thua,socnho,
8/20/2024 23:06:47,Ragnar,,,Thua,socnho,
8/20/2024 23:06:56,Zodiac,,,Thắng,gobo2k,
8/20/2024 23:07:07,Zodiac,,,Thắng,gobo2k,
8/20/2024 23:07:17,NghiaDepTrai,,,Thua,Wisdom,
8/20/2024 23:07:28,NghiaDepTrai,,,Thua,Wisdom,
8/20/2024 23:07:37,DAT93BP,UD,Last Refuge,Thua,Prac800ic,HU
8/20/2024 23:07:49,DAT93BP,Orc,Echo Isles,Thua,Prac800ic,HU
8/20/2024 23:08:00,Ragnar,NE,Northern Isles,Thắng,Truongbaorong,NE
8/20/2024 23:08:09,Ragnar,NE,Last Refuge,Thắng,Truongbaorong,UD
8/20/2024 23:08:18,Ichiban,Orc,Amazonia,Thắng,gobo2k,UD
8/20/2024 23:08:26,Ichiban,Orc,Last Refuge,Thắng,gobo2k,UD
8/20/2024 23:08:38,Ichiban,HU,Amazonia,Thắng,NghiaDepTrai,UD
8/20/2024 23:08:50,Ichiban,Orc,Concealed Hill,Thắng,NghiaDepTrai,UD
8/20/2024 23:09:04,DAT93BP,NE,Northern Isles,Thua,Kingtruong,HU
8/20/2024 23:09:17,DAT93BP,NE,Autumn Leaves,Thua,Kingtruong,HU
8/20/2024 23:09:28,Truongbaorong,UD,Echo Isles,Thua,Kingtruong,HU
9/17/2024 13:48:42,Truongbaorong,HU,Last Refuge,Thua,Kingtruong,HU
9/17/2024 13:48:53,Ichiban,Orc,Northern Isles,Thắng,Moon,NE
9/17/2024 13:49:09,Ichiban,Orc,Echo Isles,Thắng,Moon,NE
9/17/2024 13:49:21,Domi,NE,Northern Isles,Thắng,longnt,HU
9/17/2024 13:49:33,Domi,Orc,Echo Isles,Thắng,longnt,HU
9/17/2024 13:49:45,longnt,UD,Amazonia,Thua,Singlez,UD
9/17/2024 13:50:05,longnt,UD,Echo Isles,Thua,Singlez,UD
9/17/2024 13:50:20,longnt,Orc,Hammerfall,Thắng,Ragnar,NE
9/17/2024 22:31:27,Ragnar,NE,Last Refuge,Thua,longnt,Orc
9/17/2024 22:31:36,socnho,NE,Echo Isles,Thắng,Truongbaorong,UD
,socnho,NE,Last Refuge,Thắng,Truongbaorong,HU
9/17/2024 22:31:46,Lancelot,HU,Northern Isles,Thắng,Prac800ic,HU
9/17/2024 22:31:55,Lancelot,Orc,Last Refuge,Thắng,Prac800ic,HU
9/17/2024 22:32:09,Truongbaorong,UD,Echo Isles,Thắng,Datmm09,Orc
9/17/2024 22:32:18,Truongbaorong,Orc,Autumn Leaves,Thắng,Datmm09,Orc
9/18/2024 9:29:57,Lancelot,UD,Northern Isles,Thắng,Truongbaorong,UD
9/18/2024 9:54:42,Lancelot,UD,Last Refuge,Thắng,Truongbaorong,HU
9/18/2024 22:41:26,Truongbaorong,NE,Concealed Hill,Thua,SieuTitMit,Orc
9/18/2024 23:09:04,Truongbaorong,UD,Hammerfall,Thắng,SieuTitMit,Orc
9/18/2024 23:15:31,Truongbaorong,UD,Amazonia,Thắng,SieuTitMit,Orc
9/18/2024 23:24:57,Ragnar,NE,Autumn Leaves,Thắng,Kingtruong,HU
9/18/2024 23:37:41,Ragnar,NE,Last Refuge,Thắng,Kingtruong,Orc
9/19/2024 0:07:36,Lancelot,HU,Concealed Hill,Thắng,2Life,HU
9/19/2024 0:13:44,Lancelot,HU,Last Refuge,Thắng,2Life,HU
9/19/2024 0:32:18,Ichiban,Orc,Last Refuge,Thắng,Lancelot,HU
9/19/2024 0:43:44,Ichiban,Orc,Amazonia,Thua,Lancelot,HU
9/19/2024 1:06:13,Ichiban,Orc,Hammerfall,Thắng,Lancelot,HU
9/19/2024 1:07:21,Ichiban,Orc,Hammerfall,Thua,Kingtruong,HU
9/19/2024 19:51:53,Ichiban,Orc,Echo Isles,Thắng,Kingtruong,HU
9/19/2024 19:54:44,Ichiban,Orc,Concealed Hill,Thắng,Kingtruong,HU
9/19/2024 20:02:31,Singlez,UD,Northern Isles,Thắng,Kingtruong,HU
9/19/2024 20:17:44,Singlez,UD,Last Refuge,Thắng,Kingtruong,HU
9/19/2024 20:24:51,Truongbaorong,UD,Northern Isles,Thắng,Fervis,UD
9/19/2024 20:41:48,Truongbaorong,UD,Last Refuge,Thua,Fervis,UD
9/19/2024 20:42:23,Truongbaorong,HU,Hammerfall,Thua,Fervis,UD
9/19/2024 20:50:25,socnho,NE,Concealed Hill,Thắng,Datmm09,Orc
9/19/2024 20:57:00,socnho,NE,Echo Isles,Thắng,Datmm09,Orc
9/19/2024 21:01:01,Lancelot,HU,Hammerfall,Thắng,Datmm09,Orc
9/19/2024 21:12:51,Lancelot,HU,Echo Isles,Thắng,Datmm09,Orc
9/19/2024 21:21:41,osho,NE,Echo Isles,Thắng,Chairma,Orc
9/19/2024 21:28:43,osho,NE,Northern Isles,Thắng,Chairma,Orc
9/19/2024 21:42:24,Lancelot,HU,Amazonia,Thua,socnho,NE
9/19/2024 21:42:36,Lancelot,HU,Echo Isles,Thua,socnho,UD
9/19/2024 21:50:57,Ragnar,NE,Autumn Leaves,Thắng,Lancelot,HU
9/19/2024 21:57:36,Ragnar,NE,Northern Isles,Thắng,Lancelot,HU
9/19/2024 22:04:37,Truongbaorong,UD,Northern Isles,Thắng,Moon,NE
9/19/2024 22:09:55,Truongbaorong,UD,Amazonia,Thua,Moon,NE
9/19/2024 22:13:09,Ichiban,Orc,Last Refuge,Thắng,Ragnar,NE
9/19/2024 22:15:18,Ichiban,Orc,Concealed Hill,Thắng,Ragnar,NE
9/19/2024 22:18:25,Truongbaorong,UD,Amazonia,Thắng,Afterall,HU
9/19/2024 22:23:42,Truongbaorong,UD,Northern Isles,Thua,Afterall,HU
9/19/2024 22:31:05,Truongbaorong,UD,Last Refuge,Thua,Afterall,HU
9/19/2024 22:37:33,Singlez,UD,Last Refuge,Thắng,Truongbaorong,UD
9/19/2024 22:39:49,Singlez,Orc,Hammerfall,Thắng,Truongbaorong,HU
9/19/2024 22:46:57,NghiaDepTrai,UD,Amazonia,Thắng,Truongbaorong,UD
9/19/2024 22:55:36,NghiaDepTrai,UD,Concealed Hill,Thua,Truongbaorong,HU
9/19/2024 23:04:54,NghiaDepTrai,UD,Last Refuge,Thắng,Truongbaorong,HU
9/19/2024 23:09:08,socnho,NE,Autumn Leaves,Thắng,NghiaDepTrai,UD
9/19/2024 23:25:45,socnho,Orc,Echo Isles,Thắng,NghiaDepTrai,UD
9/19/2024 23:37:43,Truongbaorong,UD,Last Refuge,Thắng,Moon,NE
9/20/2024 16:28:43,Ragnar,NE,Northern Isles,Thua,Afterall,HU
9/20/2024 16:29:01,Ragnar,NE,Concealed Hill,Thua,Afterall,HU
9/20/2024 16:29:12,SieuTitMit,Orc,Last Refuge,Thua,Moon,NE
9/20/2024 19:42:49,Moon,NE,Amazonia,Thắng,SieuTitMit,Orc
9/20/2024 19:43:03,Ninh,NE,Autumn Leaves,Thắng,Afterall,HU
9/20/2024 20:16:07,Ragnar,NE,Concealed Hill,Thắng,DAT93BP,Orc
9/20/2024 20:17:11,Ragnar,NE,Amazonia,Thắng,DAT93BP,Orc
9/20/2024 20:40:40,Ragnar,NE,Last Refuge,Thua,Vinam,UD
9/20/2024 20:42:28,Ragnar,NE,Northern Isles,Thua,Vinam,UD
9/20/2024 20:47:57,Ninh,HU,Echo Isles,Thắng,Truongbaorong,UD
9/20/2024 20:58:14,Ninh,HU,Last Refuge,Thắng,Truongbaorong,UD
9/20/2024 21:17:53,Vinam,UD,Amazonia,Thắng,Truongbaorong,UD
9/20/2024 21:51:37,Lancelot,HU,Autumn Leaves,Thắng,TrungHoang,NE
9/20/2024 22:36:26,Lancelot,HU,Concealed Hill,Thua,TrungHoang,NE
9/20/2024 22:56:45,Lancelot,HU,Hammerfall,Thắng,TrungHoang,NE
9/20/2024 23:25:55,Truongbaorong,Orc,Hammerfall,Thua,TrungHoang,NE
9/21/2024 10:24:52,Truongbaorong,UD,Last Refuge,Thắng,TrungHoang,NE
9/21/2024 10:28:42,Truongbaorong,UD,Echo Isles,Thắng,TrungHoang,NE
9/21/2024 11:04:13,Moon,NE,Last Refuge,Thua,Fervis,UD
9/21/2024 11:23:55,Moon,NE,Amazonia,Thắng,Fervis,UD
9/21/2024 13:10:20,Moon,NE,Concealed Hill,Thắng,Fervis,UD
9/21/2024 13:10:31,Lancelot,UD,Northern Isles,Thắng,DAT93BP,Orc
9/21/2024 13:22:35,Lancelot,UD,Concealed Hill,Thắng,DAT93BP,Orc
9/21/2024 14:33:31,TrieuVoi,Orc,Echo Isles,Thua,Moon,NE
9/21/2024 14:33:40,Moon,NE,Last Refuge,Thắng,TrieuVoi,Orc
9/21/2024 14:40:10,Lancelot,UD,Echo Isles,Thắng,LichKing,UD
9/21/2024 15:08:02,Ragnar,NE,Last Refuge,Thắng,Wisdom,NE
9/21/2024 15:21:10,Ragnar,NE,Amazonia,Thắng,Wisdom,NE
9/21/2024 15:38:23,Lancelot,UD,Last Refuge,Thắng,LichKing,UD
9/21/2024 18:54:56,Ichiban,Orc,Northern Isles,Thắng,Vinam,UD
9/21/2024 19:06:15,Ichiban,Orc,Last Refuge,Thắng,Vinam,UD
9/21/2024 19:06:26,Ninh,NE,Echo Isles,Thắng,Singlez,UD
9/21/2024 20:04:29,Ninh,NE,Last Refuge,Thua,Singlez,UD
9/21/2024 20:04:40,hoanguyen,Orc,Northern Isles,Thắng,DAT93BP,Orc
9/21/2024 20:39:37,hoanguyen,HU,Amazonia,Thắng,DAT93BP,UD
9/21/2024 21:15:26,Lancelot,HU,Hammerfall,Thua,Vinam,UD
9/21/2024 22:44:30,Lancelot,HU,Echo Isles,Thua,Vinam,UD
9/21/2024 22:44:43,Vinam,UD,Concealed Hill,Thua,Ninh,NE
9/21/2024 22:45:22,Vinam,UD,Last Refuge,Thắng,Ninh,NE
9/21/2024 22:58:25,Vinam,UD,Autumn Leaves,Thua,Ninh,NE
9/21/2024 23:42:01,Wisdom,NE,Echo Isles,Thắng,DAT93BP,Orc
9/21/2024 23:42:11,Wisdom,NE,Autumn Leaves,Thắng,DAT93BP,Orc
9/22/2024 0:14:29,longnt,Orc,Amazonia,Thua,Truongbaorong,UD
9/22/2024 8:39:41,longnt,HU,Last Refuge,Thắng,Truongbaorong,UD
9/22/2024 10:06:55,longnt,HU,Northern Isles,Thắng,Truongbaorong,UD
9/22/2024 10:07:10,Lancelot,HU,Northern Isles,Thua,Singlez,UD
9/22/2024 13:43:25,Lancelot,HU,Hammerfall,Thua,Singlez,UD
9/22/2024 13:48:59,longnt,HU,Autumn Leaves,Thắng,TrungHoang,NE
9/22/2024 13:58:24,longnt,HU,Echo Isles,Thắng,TrungHoang,NE
9/22/2024 14:10:06,Ninh,UD,Concealed Hill,Thua,Afterall,HU
9/22/2024 14:28:21,Ninh,UD,Hammerfall,Thắng,Afterall,HU
9/22/2024 15:13:20,Ragnar,NE,Hammerfall,Thua,Moon,NE
9/22/2024 15:13:37,Ragnar,NE,Concealed Hill,Thua,Moon,NE
9/22/2024 15:39:51,Moon,NE,Amazonia,Thắng,Afterall,HU
9/22/2024 15:40:02,Moon,NE,Concealed Hill,Thắng,Afterall,HU
9/22/2024 15:44:44,Ichiban,Orc,Autumn Leaves,Thắng,Truongbaorong,UD
9/22/2024 16:11:39,Ichiban,Orc,Last Refuge,Thắng,Truongbaorong,HU
9/22/2024 16:16:06,Ichiban,Orc,Autumn Leaves,Thắng,Singlez,UD
9/22/2024 16:25:07,Ichiban,Orc,Hammerfall,Thua,Singlez,UD
9/22/2024 16:30:10,Ichiban,Orc,Amazonia,Thắng,Singlez,UD
9/22/2024 21:02:01,socnho,HU,Northern Isles,Thắng,LazyOldMan,Orc
9/22/2024 21:02:12,socnho,NE,Concealed Hill,Thắng,LazyOldMan,Orc
,socnho,Orc,Last Refuge,Thắng,TrungHoang,NE
,socnho,UD,Echo Isles,Thắng,TrungHoang,NE
9/22/2024 21:38:45,LazyOldMan,Orc,Last Refuge,Thắng,gobo2k,NE
9/22/2024 22:01:09,LazyOldMan,Orc,Northern Isles,Thắng,gobo2k,HU
9/22/2024 22:26:35,longnt,NE,Last Refuge,Thua,gobo2k,UD
9/22/2024 22:38:42,longnt,Orc,Echo Isles,Thắng,gobo2k,NE
9/23/2024 6:42:13,longnt,HU,Amazonia,Thắng,gobo2k,NE
9/23/2024 6:44:23,Ichiban,Orc,Echo Isles,Thắng,LazyOldMan,Orc
9/23/2024 6:54:04,Ichiban,Orc,Concealed Hill,Thắng,LazyOldMan,Orc
9/23/2024 7:06:24,gobo2k,NE,Autumn Leaves,Thua,Ninh,NE
9/23/2024 7:10:44,gobo2k,NE,Hammerfall,Thua,Ninh,HU
9/23/2024 21:06:50,Ragnar,NE,Amazonia,Thua,Ninh,Orc
9/23/2024 21:09:31,Ragnar,NE,Northern Isles,Thua,Ninh,NE
9/24/2024 16:10:03,Singlez,UD,Northern Isles,Thắng,GiaBao,Orc
9/24/2024 16:10:26,Singlez,Orc,Last Refuge,Thắng,GiaBao,Orc
9/24/2024 16:28:03,longnt,Orc,Concealed Hill,Thắng,GiaBao,Orc
9/24/2024 16:28:13,longnt,Orc,Echo Isles,Thắng,Moon,NE
9/24/2024 16:28:22,longnt,Orc,Amazonia,Thua,Moon,NE
9/24/2024 22:24:07,longnt,Orc,Autumn Leaves,Thua,Moon,NE
9/25/2024 5:47:56,Lancelot,HU,Last Refuge,Thua,Ninh,Orc
9/25/2024 13:25:23,Ragnar,NE,Northern Isles,Thắng,gobo2k,Orc
9/25/2024 16:12:18,Ragnar,NE,Last Refuge,Thắng,gobo2k,HU
9/28/2024 10:31:40,Ragnar,NE,Last Refuge,Thua,Metallica,NE
9/28/2024 11:07:05,Ragnar,NE,Northern Isles,Thắng,Metallica,NE
9/28/2024 11:26:00,Ragnar,NE,Echo Isles,Thua,Metallica,NE
9/28/2024 21:22:07,Lancelot,HU,Concealed Hill,Thua,LazyOldMan,Orc
9/28/2024 21:22:23,Lancelot,HU,Hammerfall,Thua,LazyOldMan,Orc
11/12/2024 20:50:27,Lancelot,HU,Autumn Leaves,Thua,Chairma,Orc
11/12/2024 20:57:42,Lancelot,HU,Last Refuge,Thắng,Chairma,Orc
11/12/2024 21:10:25,Lancelot,HU,Northern Isles,Thắng,Chairma,Orc
9/29/2024 9:12:27,Singlez,UD,Hammerfall,Thắng,SieuTitMit,UD
9/29/2024 9:14:47,Singlez,UD,Amazonia,Thắng,SieuTitMit,UD
9/29/2024 10:50:30,Wisdom,NE,Amazonia,Thắng,SieuTitMit,Orc
9/29/2024 10:50:58,Wisdom,NE,Echo Isles,Thua,SieuTitMit,UD
9/29/2024 10:51:26,Wisdom,NE,Northern Isles,Thua,SieuTitMit,UD
9/29/2024 11:08:38,Domi,HU,Northern Isles,Thắng,2Life,HU
9/29/2024 11:08:52,Domi,NE,Echo Isles,Thắng,2Life,HU
9/29/2024 11:16:13,Ninh,NE,Amazonia,Thua,Fervis,UD
9/29/2024 11:23:41,longnt,NE,Last Refuge,Thắng,SieuTitMit,UD
9/29/2024 11:34:30,longnt,UD,Amazonia,Thắng,SieuTitMit,UD
9/29/2024 13:09:43,Lancelot,HU,Echo Isles,Thua,Afterall,HU
9/29/2024 13:17:14,Lancelot,UD,Hammerfall,Thua,Afterall,HU
9/29/2024 17:09:49,Fervis,UD,Last Refuge,Thua,Metallica,NE
