Ngày,Người chơi,ELO mới
11/9/2024 11:59:56,longnt,1516
11/9/2024 11:59:56,VitaminZ,1484
11/9/2024 11:59:56,longnt,1531
11/9/2024 11:59:56,VitaminZ,1469
11/9/2024 11:59:56,Wisdom,1484
11/9/2024 11:59:56,Lancelot,1516
11/9/2024 11:59:56,Wisdom,1469
11/9/2024 11:59:56,Lancelot,1531
11/9/2024 11:59:56,gobo2k,1516
11/9/2024 11:59:56,hoanguyen,1484
11/9/2024 11:59:56,gobo2k,1499
11/9/2024 11:59:56,hoanguyen,1501
11/9/2024 11:59:56,gobo2k,1515
11/9/2024 11:59:56,hoanguyen,1485
11/9/2024 11:59:56,socnho,1516
11/9/2024 11:59:56,Ichiban,1484
11/9/2024 11:59:56,socnho,1499
11/9/2024 11:59:56,Ichiban,1501
11/9/2024 11:59:56,socnho,1515
11/9/2024 11:59:56,Ichiban,1485
11/9/2024 11:59:56,Chairma,1484
11/9/2024 11:59:56,LazyOldMan,1516
11/9/2024 11:59:56,Chairma,1469
11/9/2024 11:59:56,LazyOldMan,1531
11/9/2024 11:59:56,osho,1516
11/9/2024 11:59:56,Ragnar,1484
11/9/2024 11:59:56,osho,1531
11/9/2024 11:59:56,Ragnar,1469
11/9/2024 11:59:56,Vinam,1484
11/9/2024 11:59:56,Ninh,1516
11/9/2024 11:59:56,Vinam,1469
11/9/2024 11:59:56,Ninh,1531
11/9/2024 11:59:56,Domi,1516
11/9/2024 11:59:56,NghiaDepTrai,1484
11/9/2024 11:59:56,Domi,1531
11/9/2024 11:59:56,NghiaDepTrai,1469
11/9/2024 11:59:56,osho,1512
11/9/2024 11:59:56,Wisdom,1488
11/9/2024 11:59:56,osho,1527
11/9/2024 11:59:56,Wisdom,1473
11/9/2024 11:59:56,osho,1541
11/9/2024 11:59:56,Wisdom,1459
11/9/2024 11:59:56,gobo2k,1529
11/9/2024 11:59:56,Chairma,1455
11/9/2024 11:59:56,gobo2k,1510
11/9/2024 11:59:56,Chairma,1474
11/9/2024 11:59:56,gobo2k,1524
11/9/2024 11:59:56,Chairma,1460
11/9/2024 11:59:56,Vinam,1487
11/9/2024 11:59:56,socnho,1497
11/9/2024 11:59:56,Vinam,1503
11/9/2024 11:59:56,socnho,1481
11/9/2024 11:59:56,Domi,1547
11/9/2024 11:59:56,longnt,1515
11/9/2024 11:59:56,Domi,1562
11/9/2024 11:59:56,longnt,1500
11/9/2024 11:59:56,Ragnar,1456
11/9/2024 11:59:56,Lancelot,1544
11/9/2024 11:59:56,Ragnar,1444
11/9/2024 11:59:56,Lancelot,1556
11/9/2024 11:59:56,NghiaDepTrai,1485
11/9/2024 11:59:56,VitaminZ,1453
11/9/2024 11:59:56,NghiaDepTrai,1500
11/9/2024 11:59:56,VitaminZ,1438
11/9/2024 11:59:56,LazyOldMan,1545
11/9/2024 11:59:56,hoanguyen,1471
11/9/2024 11:59:56,LazyOldMan,1558
11/9/2024 11:59:56,hoanguyen,1458
11/9/2024 11:59:56,Ninh,1513
11/9/2024 11:59:56,Ichiban,1503
11/9/2024 11:59:56,Ninh,1497
11/9/2024 11:59:56,Ichiban,1519
11/9/2024 11:59:56,Chairma,1475
11/9/2024 11:59:56,VitaminZ,1423
11/9/2024 11:59:56,Chairma,1457
11/9/2024 11:59:56,VitaminZ,1441
11/9/2024 11:59:56,Chairma,1472
11/9/2024 11:59:56,VitaminZ,1426
11/9/2024 11:59:56,osho,1524
11/9/2024 11:59:56,Ichiban,1536
11/9/2024 11:59:56,osho,1509
11/9/2024 11:59:56,Ichiban,1551
11/9/2024 11:59:56,Vinam,1517
11/9/2024 11:59:56,hoanguyen,1444
11/9/2024 11:59:56,Vinam,1530
11/9/2024 11:59:56,hoanguyen,1431
11/9/2024 11:59:56,Domi,1578
11/9/2024 11:59:56,Lancelot,1540
11/9/2024 11:59:56,Domi,1592
11/9/2024 11:59:56,Lancelot,1526
11/9/2024 11:59:56,LazyOldMan,1571
11/9/2024 11:59:56,longnt,1487
11/9/2024 11:59:56,LazyOldMan,1551
11/9/2024 11:59:56,longnt,1507
11/9/2024 11:59:56,LazyOldMan,1565
11/9/2024 11:59:56,longnt,1493
11/9/2024 11:59:56,Ragnar,1462
11/9/2024 11:59:56,socnho,1463
11/9/2024 11:59:56,Ragnar,1446
11/9/2024 11:59:56,socnho,1479
11/9/2024 12:02:49,Ragnar,1432
11/9/2024 12:02:49,socnho,1493
11/9/2024 12:02:49,Zodiac,1517
11/9/2024 12:02:49,gobo2k,1507
11/9/2024 12:02:49,Zodiac,1533
11/9/2024 12:02:49,gobo2k,1491
11/9/2024 12:02:49,NghiaDepTrai,1482
11/9/2024 12:02:49,Wisdom,1477
11/9/2024 12:02:49,NghiaDepTrai,1466
11/9/2024 12:02:49,Wisdom,1493
11/9/2024 12:02:49,DAT93BP,1484
11/9/2024 12:02:49,Prac800ic,1516
11/9/2024 12:02:49,DAT93BP,1469
11/9/2024 12:02:49,Prac800ic,1531
11/9/2024 12:02:49,Ragnar,1451
11/9/2024 12:02:49,Truongbaorong,1481
11/9/2024 12:02:49,Ragnar,1468
11/9/2024 12:02:49,Truongbaorong,1464
11/9/2024 12:02:49,Ichiban,1564
11/9/2024 12:02:49,gobo2k,1478
11/9/2024 12:02:49,Ichiban,1576
11/9/2024 12:02:49,gobo2k,1466
11/9/2024 12:02:49,Ichiban,1587
11/9/2024 12:02:49,NghiaDepTrai,1455
11/9/2024 12:02:49,Ichiban,1597
